question,answers,ctxs,nq_annotated_gold.title,nq_annotated_gold.long_answer,nq_annotated_gold.chunked_long_answer,nq_annotated_gold.short_answers
where is the tv show the curse of oak island filmed,['Oak Island'],"[{'title': 'The Curse of Oak Island', 'text': 'The Curse of Oak Island follows brothers Marty and Rick Lagina, originally from Kingsford, Michigan, through their efforts to find the speculated treasure or historical artifacts believed to be on Oak Island.  The series discusses the history of the island, recent discoveries, theories, and prior attempts to investigate the site. Areas of interest include the ""Money Pit"", Borehole 10-x, Smith\'s Cove, ""Nolan\'s Cross"", the ""Hatch"", the ""Watchtower"" and the ""Swamp"".', 'hasanswer': True, 'isgold': True}]",The Curse of Oak Island,"The Curse of Oak Island follows brothers Marty and Rick Lagina, originally from Kingsford, Michigan, through their efforts to find the speculated treasure or historical artifacts believed to be on Oak Island. The series discusses the history of the island, recent discoveries, theories, and prior attempts to investigate the site. Areas of interest include the ""Money Pit"", Borehole 10-x, Smith's Cove, ""Nolan's Cross"", the ""Hatch"", the ""Watchtower"" and the ""Swamp"".","The Curse of Oak Island follows brothers Marty and Rick Lagina, originally from Kingsford, Michigan, through their efforts to find the speculated treasure or historical artifacts believed to be on Oak Island.  The series discusses the history of the island, recent discoveries, theories, and prior attempts to investigate the site. Areas of interest include the ""Money Pit"", Borehole 10-x, Smith's Cove, ""Nolan's Cross"", the ""Hatch"", the ""Watchtower"" and the ""Swamp"".",['Oak Island']
where is gall bladder situated in human body,['beneath the liver'],"[{'title': 'Gallbladder', 'text': 'In vertebrates, the gallbladder is a small hollow organ where bile is stored and concentrated before it is released into the small intestine. In humans, the pear-shaped gallbladder lies beneath the liver, although the structure and position of the gallbladder can vary significantly among animal species.  It receives and stores bile, produced by the liver, via the common hepatic duct, and releases it via the common bile duct into the duodenum, where the bile helps in the digestion of fats.', 'hasanswer': True, 'isgold': True}]",Gallbladder,"In vertebrates, the gallbladder is a small hollow organ where bile is stored and concentrated before it is released into the small intestine. In humans, the pear-shaped gallbladder lies beneath the liver, although the structure and position of the gallbladder can vary significantly among animal species. It receives and stores bile, produced by the liver, via the common hepatic duct, and releases it via the common bile duct into the duodenum, where the bile helps in the digestion of fats.","In vertebrates, the gallbladder is a small hollow organ where bile is stored and concentrated before it is released into the small intestine. In humans, the pear-shaped gallbladder lies beneath the liver, although the structure and position of the gallbladder can vary significantly among animal species.  It receives and stores bile, produced by the liver, via the common hepatic duct, and releases it via the common bile duct into the duodenum, where the bile helps in the digestion of fats.",['beneath the liver']
who is the current director of the us mint,"['David J. Ryder', 'David Motl']","[{'title': 'Director of the United States Mint', 'text': 'The Director of the United States Mint is the head of the United States Mint. The position is currently vacant. Since January 20, 2017, the senior career official at the Mint has been Acting Principal Deputy Director David Motl.', 'hasanswer': True, 'isgold': True}]",Director of the United States Mint,"The Director of the United States Mint is the head of the United States Mint. The position is currently vacant. Since January 20, 2017, the senior career official at the Mint has been Acting Principal Deputy Director David Motl.","The Director of the United States Mint is the head of the United States Mint. The position is currently vacant. Since January 20, 2017, the senior career official at the Mint has been Acting Principal Deputy Director David Motl.",['David Motl']
what is the main mineral in lithium batteries,"['Lithium', 'lithium']","[{'title': 'Lithium', 'text': 'Late in the 20th century, lithium became an important component of battery electrolytes and electrodes, because of its high electrode potential. Because of its low atomic mass, it has a high charge- and power-to-weight ratio. A typical lithium-ion battery can generate approximately 3 volts per cell, compared with 2.1 volts for lead-acid or 1.5 volts for zinc-carbon cells. Lithium-ion batteries, which are rechargeable and have a high energy density, should not be confused with lithium batteries, which are disposable (primary) batteries with lithium or its compounds as the anode. Other rechargeable batteries that use lithium include the lithium-ion polymer battery, lithium iron phosphate battery, and the nanowire battery.', 'hasanswer': True, 'isgold': True}]",Lithium,"Late in the 20th century, lithium became an important component of battery electrolytes and electrodes, because of its high electrode potential. Because of its low atomic mass, it has a high charge- and power-to-weight ratio. A typical lithium-ion battery can generate approximately 3 volts per cell, compared with 2.1 volts for lead-acid or 1.5 volts for zinc-carbon cells. Lithium-ion batteries, which are rechargeable and have a high energy density, should not be confused with lithium batteries, which are disposable (primary) batteries with lithium or its compounds as the anode. Other rechargeable batteries that use lithium include the lithium-ion polymer battery, lithium iron phosphate battery, and the nanowire battery.","Late in the 20th century, lithium became an important component of battery electrolytes and electrodes, because of its high electrode potential. Because of its low atomic mass, it has a high charge- and power-to-weight ratio. A typical lithium-ion battery can generate approximately 3 volts per cell, compared with 2.1 volts for lead-acid or 1.5 volts for zinc-carbon cells. Lithium-ion batteries, which are rechargeable and have a high energy density, should not be confused with lithium batteries, which are disposable (primary) batteries with lithium or its compounds as the anode. Other rechargeable batteries that use lithium include the lithium-ion polymer battery, lithium iron phosphate battery, and the nanowire battery.",['lithium']
right to property according to the constitution of india is a,['constitutional right'],"[{'title': 'Fundamental rights in India', 'text': 'the constitution, which provided that ""no person shall be deprived of his property save by authority of law"". Thus if a legislature makes a law depriving a person of his property, there would be no obligation on the part of the State to pay anything as compensation. The aggrieved person shall have no right to move the court under Article 32. Thus, the right to property is no longer a fundamental right, though it is still a constitutional right.  If the government appears to have acted unfairly, the action can be challenged in a court of law by aggrieved citizens.', 'hasanswer': True, 'isgold': True}]",Fundamental rights in India,"The provisions relating to the right to property were changed a number of times. The Forty-Fourth Amendment of 1978 deleted the right to property from the list of fundamental rights A new provision, Article 300-A, was added to the constitution, which provided that ""no person shall be deprived of his property save by authority of law"". Thus if a legislature makes a law depriving a person of his property, there would be no obligation on the part of the State to pay anything as compensation. The aggrieved person shall have no right to move the court under Article 32. Thus, the right to property is no longer a fundamental right, though it is still a constitutional right. If the government appears to have acted unfairly, the action can be challenged in a court of law by aggrieved citizens.","the constitution, which provided that ""no person shall be deprived of his property save by authority of law"". Thus if a legislature makes a law depriving a person of his property, there would be no obligation on the part of the State to pay anything as compensation. The aggrieved person shall have no right to move the court under Article 32. Thus, the right to property is no longer a fundamental right, though it is still a constitutional right.  If the government appears to have acted unfairly, the action can be challenged in a court of law by aggrieved citizens.",['constitutional right']
who is the president of usa right now,['Donald Trump'],"[{'title': 'President of the United States', 'text': 'Donald Trump is the 45th and current president, inaugurated on January 20, 2017.', 'hasanswer': True, 'isgold': True}]",President of the United States,"Donald Trump is the 45th and current president, inaugurated on January 20, 2017.","Donald Trump is the 45th and current president, inaugurated on January 20, 2017.",['Donald Trump']
what part of the brain is in the middle cranial fossa,"['pituitary gland', 'the temporal lobes', 'the pituitary gland', 'temporal lobes']","[{'title': 'Middle cranial fossa', 'text': 'It houses the temporal lobes of the brain and the pituitary gland.  A middle fossa craniotomy is one means to surgically remove acoustic neuromas (vestibular schwannoma) growing within the internal auditory canal of the temporal bone.', 'hasanswer': True, 'isgold': True}]",Middle cranial fossa,It houses the temporal lobes of the brain and the pituitary gland. A middle fossa craniotomy is one means to surgically remove acoustic neuromas (vestibular schwannoma) growing within the internal auditory canal of the temporal bone.,It houses the temporal lobes of the brain and the pituitary gland.  A middle fossa craniotomy is one means to surgically remove acoustic neuromas (vestibular schwannoma) growing within the internal auditory canal of the temporal bone.,"['pituitary gland', 'temporal lobes', 'the pituitary gland', 'the temporal lobes']"
where do the greasers live in the outsiders,"['Tulsa, Oklahoma']","[{'title': 'The Outsiders (novel)', 'text': 'The story in the book takes place in Tulsa, Oklahoma, in 1965, but this is never explicitly stated in the book.', 'hasanswer': True, 'isgold': True}]",The Outsiders (novel),"The story in the book takes place in Tulsa, Oklahoma, in 1965, but this is never explicitly stated in the book.","The story in the book takes place in Tulsa, Oklahoma, in 1965, but this is never explicitly stated in the book.","['Tulsa, Oklahoma']"
who died in the plane crash greys anatomy,"['Dr. Lexie Grey', 'Lexie']","[{'title': ""Flight (Grey's Anatomy)"", 'text': ""and the show's 172nd episode overall. It was written by series creator Shonda Rhimes, and directed by Rob Corn. The episode was originally broadcast on the American Broadcasting Company (ABC) in the United States on May 17, 2012. In the episode, six doctors from Seattle Grace Mercy West Hospital who are victims of an aviation accident fight to stay alive, but Dr. Lexie Grey (Chyler Leigh) ultimately dies.  Other storylines occur in Seattle where Dr. Richard Webber (James Pickens, Jr.) plans his annual dinner for the departing residents, Dr. Owen Hunt (Kevin McKidd) fires Dr. Teddy Altman (Kim Raver), and"", 'hasanswer': True, 'isgold': True}]",Flight (Grey's Anatomy),"""Flight"" is the twenty-fourth and final episode of the eighth season of the American television medical drama Grey's Anatomy, and the show's 172nd episode overall. It was written by series creator Shonda Rhimes, and directed by Rob Corn. The episode was originally broadcast on the American Broadcasting Company (ABC) in the United States on May 17, 2012. In the episode, six doctors from Seattle Grace Mercy West Hospital who are victims of an aviation accident fight to stay alive, but Dr. Lexie Grey (Chyler Leigh) ultimately dies. Other storylines occur in Seattle where Dr. Richard Webber (James Pickens, Jr.) plans his annual dinner for the departing residents, Dr. Owen Hunt (Kevin McKidd) fires Dr. Teddy Altman (Kim Raver), and Dr. Miranda Bailey (Chandra Wilson) gets engaged.","and the show's 172nd episode overall. It was written by series creator Shonda Rhimes, and directed by Rob Corn. The episode was originally broadcast on the American Broadcasting Company (ABC) in the United States on May 17, 2012. In the episode, six doctors from Seattle Grace Mercy West Hospital who are victims of an aviation accident fight to stay alive, but Dr. Lexie Grey (Chyler Leigh) ultimately dies.  Other storylines occur in Seattle where Dr. Richard Webber (James Pickens, Jr.) plans his annual dinner for the departing residents, Dr. Owen Hunt (Kevin McKidd) fires Dr. Teddy Altman (Kim Raver), and",['Dr. Lexie Grey']
where do they grow hops in the us,"['Yakima (Washington)', 'Idaho', 'Washington', 'western Canyon County, Idaho', 'Willamette (Oregon)', 'Oregon']","[{'title': 'Hops', 'text': 'Important production centres today are the Hallertau in Germany (more hop-growing area than any other country as of 2006), the Yakima (Washington) and Willamette (Oregon) valleys, and western Canyon County, Idaho (including the communities of Parma, Wilder, Greenleaf, and Notus).  The principal production centres in the UK are in Kent (which produces Kent Goldings hops), Herefordshire, and Worcestershire. Essentially all of the harvested hops are used in beer making.', 'hasanswer': True, 'isgold': True}]",Hops,"Important production centres today are the Hallertau in Germany (more hop-growing area than any other country as of 2006), the Yakima (Washington) and Willamette (Oregon) valleys, and western Canyon County, Idaho (including the communities of Parma, Wilder, Greenleaf, and Notus). The principal production centres in the UK are in Kent (which produces Kent Goldings hops), Herefordshire, and Worcestershire. Essentially all of the harvested hops are used in beer making.","Important production centres today are the Hallertau in Germany (more hop-growing area than any other country as of 2006), the Yakima (Washington) and Willamette (Oregon) valleys, and western Canyon County, Idaho (including the communities of Parma, Wilder, Greenleaf, and Notus).  The principal production centres in the UK are in Kent (which produces Kent Goldings hops), Herefordshire, and Worcestershire. Essentially all of the harvested hops are used in beer making.","['Idaho', 'Oregon', 'Washington', 'Willamette (Oregon)', 'Yakima (Washington)', 'western Canyon County, Idaho']"
